0.1, 0.3
0.5, 1.2
1.0, 2.5
1.5, 4.2
2.0, 6.5
2.5, 9.0
3.0, 12.0
3.5, 15.0
4.0, 18.3
4.5, 21.5
5.0, 24.8
5.5, 28.0
6.0, 31.2
6.5, 34.3
7.0, 37.2
7.5, 40.0
8.0, 42.5
8.5, 45.0
9.0, 47.2
9.5, 49.3
10.0, 51.2
10.5, 53.0
11.0, 54.6
11.5, 56.1
12.0, 57.5
12.5, 58.8
13.0, 60.0
13.5, 61.1
14.0, 62.1
14.5, 63.0
15.0, 63.8
15.5, 64.5
16.0, 65.1
16.5, 65.7
17.0, 66.2
17.5, 66.7
18.0, 67.1
18.5, 67.5
19.0, 67.8
19.5, 68.1
20.0, 68.3
20.5, 68.5
21.0, 68.7
21.5, 68.8
22.0, 69.0
22.5, 69.1
23.0, 69.2
23.5, 69.3
24.0, 69.4


