0.1, 1040
0.5, 1160
1.0, 1360
1.5, 1600
2.0, 1880
2.5, 2160
3.0, 2456
3.5, 2760
4.0, 3080
4.5, 3408
5.0, 3720
5.5, 4000
6.0, 4296
6.5, 4544
7.0, 4792
7.5, 5016
8.0, 5240
8.5, 5440
9.0, 5624
9.5, 5800
10.0, 5960
10.5, 6104
11.0, 6240
11.5, 6360
12.0, 6480
12.5, 6600
13.0, 6704
13.5, 6800
14.0, 6888
14.5, 6968
15.0, 7040
15.5, 7104
16.0, 7160
16.5, 7208
17.0, 7256
17.5, 7304
18.0, 7344
18.5, 7376
19.0, 7408
19.5, 7432
20.0, 7456
20.5, 7480
21.0, 7496
21.5, 7512
22.0, 7528
22.5, 7544
23.0, 7552
23.5, 7560
24.0, 7568

