0.2, 0.3
0.5, 0.8
1.0, 1.8
1.5, 3.2
2.0, 5.0
2.5, 7.5
3.0, 10.5
3.5, 14.0
4.0, 18.0
4.5, 22.0
5.0, 26.0
5.5, 30.0
6.0, 34.0
6.5, 38.0
7.0, 42.0
7.5, 45.5
8.0, 49.0
8.5, 52.0
9.0, 54.5
9.5, 57.0
10.0, 59.0
10.5, 61.0
11.0, 62.5
11.5, 64.0
12.0, 65.0
12.5, 66.0
13.0, 67.0
13.5, 67.5
14.0, 68.0
14.5, 68.5
15.0, 69.0
15.5, 69.5
16.0, 70.0
16.5, 70.5
17.0, 71.0
17.5, 71.2
18.0, 71.8
18.5, 72.1
19.0, 72.4
19.5, 72.8
20.0, 73.0
20.5, 73.5
21.0, 73.6
21.5, 73.9
22.0, 74.1
22.5, 74.5
23.0, 74.7
23.5, 74.8
24.0, 75.1
